id,key,project_key,project_name,summary,description,status,priority,issue_type,created,updated,assignee,reporter,labels,components,url
10278,SCRUM-11,SCRUM,sample,Test Ticket,,To Do,Medium,Task,2025-06-17T18:00:30.964+0530,2025-06-17T18:00:31.015+0530,,Pranav Gaddi,[],[],https://projectmajorvd25.atlassian.net/browse/SCRUM-11
10277,SCRUM-10,SCRUM,sample,** Create Sample User Stories and Epic for Feature X,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Description'}]}]}",To Do,Medium,Story,2025-06-17T16:06:35.870+0530,2025-06-17T17:57:54.123+0530,,Project Major,[],[],https://projectmajorvd25.atlassian.net/browse/SCRUM-10
10276,JIR-31,JIR,JIRANEW,** Create Sample User Stories and Epic for Feature X,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Description'}]}]}",To Do,Medium,Story,2025-06-17T16:05:08.703+0530,2025-06-17T16:05:08.764+0530,,Project Major,[],[],https://projectmajorvd25.atlassian.net/browse/JIR-31
10275,JIR-30,JIR,JIRANEW,Add 2FA during Account Creation,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'As a new user, I want to be able to enable 2FA during the account creation process so that I can secure my account from the start.'}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Acceptance Criteria:', 'marks': [{'type': 'strong'}]}]}, {'type': 'bulletList', 'content': [{'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Option to enable 2FA is presented during signup.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'User can choose their preferred 2FA method during signup.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Successful 2FA setup is required before account activation.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Clear instructions are provided during the signup process.'}]}]}]}]}",To Do,Medium,Story,2025-06-17T15:53:41.645+0530,2025-06-17T15:53:41.725+0530,,Project Major,[],[],https://projectmajorvd25.atlassian.net/browse/JIR-30
10274,JIR-29,JIR,JIRANEW,Account Recovery with 2FA Disabled,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'As a user, I want a secure way to recover my account if I lose access to my 2FA methods.'}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Acceptance Criteria:', 'marks': [{'type': 'strong'}]}]}, {'type': 'bulletList', 'content': [{'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'User can initiate account recovery through a secure process.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Recovery process involves verifying identity through multiple channels (e.g., email, security questions).'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'System guides user through the recovery steps clearly.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Account recovery is logged for auditing purposes.'}]}]}]}]}",To Do,Medium,Story,2025-06-17T15:53:40.662+0530,2025-06-17T15:53:40.759+0530,,Project Major,[],[],https://projectmajorvd25.atlassian.net/browse/JIR-29
10273,JIR-28,JIR,JIRANEW,Handle Locked Account after Multiple Failed 2FA Attempts,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'As a user, I want my account to be temporarily locked after multiple failed 2FA attempts so that my account remains secure from brute-force attacks.'}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Acceptance Criteria:', 'marks': [{'type': 'strong'}]}]}, {'type': 'bulletList', 'content': [{'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Account is locked after 3 consecutive failed attempts.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'User receives instructions on how to unlock account.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Account unlock process is clear and intuitive.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Account unlock requires answering security questions or email verification.'}]}]}]}]}",To Do,Medium,Story,2025-06-17T15:53:39.578+0530,2025-06-17T15:53:39.661+0530,,Project Major,[],[],https://projectmajorvd25.atlassian.net/browse/JIR-28
10272,JIR-27,JIR,JIRANEW,View and Manage 2FA Methods,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'As a user, I want to view and manage my currently enabled 2FA methods so that I can control my account security settings.'}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Acceptance Criteria:', 'marks': [{'type': 'strong'}]}]}, {'type': 'bulletList', 'content': [{'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'A list of currently enabled 2FA methods is displayed.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'User can disable any enabled 2FA method.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Clear instructions are given on how to manage each method.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'User receives confirmation after disabling a method.'}]}]}]}]}",To Do,Medium,Story,2025-06-17T15:53:38.604+0530,2025-06-17T15:53:38.692+0530,,Project Major,[],[],https://projectmajorvd25.atlassian.net/browse/JIR-27
10271,JIR-26,JIR,JIRANEW,Enable Email-Based 2FA,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'As a user, I want to enable two-factor authentication using email verification codes so that I have an alternative method if I lose access to my authenticator app.'}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Acceptance Criteria:', 'marks': [{'type': 'strong'}]}]}, {'type': 'bulletList', 'content': [{'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'User can choose email as a 2FA method.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': ""System sends a verification code to the user's registered email.""}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'System validates the email verification code.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Error message displayed for invalid code or email issues.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'User can disable email-based 2FA.'}]}]}]}]}",To Do,Medium,Story,2025-06-17T15:53:37.708+0530,2025-06-17T15:53:37.771+0530,,Project Major,[],[],https://projectmajorvd25.atlassian.net/browse/JIR-26
10270,JIR-25,JIR,JIRANEW,Enable TOTP (Time-Based One-Time Password) 2FA,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'As a user, I want to enable two-factor authentication using a time-based one-time password (TOTP) app like Google Authenticator or Authy so that I can add an extra layer of security to my account.'}]}, {'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Acceptance Criteria:', 'marks': [{'type': 'strong'}]}]}, {'type': 'bulletList', 'content': [{'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'User can successfully enable TOTP 2FA.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'A QR code is displayed for easy setup in a TOTP app.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'System validates the TOTP code entered by the user.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Error message is displayed for invalid codes.'}]}]}, {'type': 'listItem', 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'User can disable TOTP 2FA.'}]}]}]}]}",To Do,Medium,Story,2025-06-17T15:53:36.884+0530,2025-06-17T15:53:36.935+0530,,Project Major,[],[],https://projectmajorvd25.atlassian.net/browse/JIR-25
10269,JIR-24,JIR,JIRANEW,Handle 2FA Failures and Recovery,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Provide mechanisms for handling failed 2FA attempts and account recovery.'}]}]}",To Do,Medium,Epic,2025-06-17T15:53:36.088+0530,2025-06-17T15:53:36.141+0530,,Project Major,[],[],https://projectmajorvd25.atlassian.net/browse/JIR-24
